unit,shape,width,height
process,140,100,
mixer,mxgraph.pid.mixers.in-line_static_mixer,70,20
pump,mxgraph.pid.pumps.centrifugal_pump_1,70,70
steammixer,mxgraph.pid.piping.in-line_mixer,100,100
mockmixer,mxgraph.pid.piping.in-line_mixer,60,20
splitter,mxgraph.pid.filters.filter,30,30
phasesplitter,mxgraph.pid.separators.separator_(cyclone)2,100,100
mocksplitter,mxgraph.pid.filters.filter,80,120
reversedsplitter,mxgraph.pid.filters.filter,30,30
molecularsieve,mxgraph.pid.misc.screening_device,_sieve,_strainer,100,50
hx,mxgraph.pid.heat_exchangers.fixed_straight_tubes_heat_exchanger,50,10
hxutility,mxgraph.pid.heat_exchangers.heater,100,60
hxprocess,mxgraph.pid.heat_exchangers.condenser,100,60
tank,mxgraph.pid.vessels.tank_(dished_roof),200,120
mixtank,mxgraph.pid.vessels.jacketed_mixing_vessel,200,240
storagetank,mxgraph.pid.vessels.tank_(floating_roof),160,240
distillation,mxgraph.pid.vessels.tower_with_packing,160,240
binarydistillation,mxgraph.pid.vessels.tower_with_packing,200,220
shortcutcolumn,mxgraph.pid.vessels.tower_with_packing,200,220
duplicator,process,100,100
junction,process,100,140
massbalance,process,100,140
diagramonlyunit,process,80,80
diagramonlysystemunit,process,80,80
diagramonlystreamunit,process,100,40
flash,mxgraph.pid.separators.spray_scrubber,100,100
splitflash,mxgraph.pid.separators.spray_scrubber,70,67
ratioflash,mxgraph.pid.separators.spray_scrubber,110,60
multieffectevaporator,mxgraph.pid.heat_exchangers.condenser,100,95
solidsseparator,mxgraph.pid.separators.separator_(electromagnetic),14,97
rotaryvacuumfilter,mxgraph.pid.filters.press_filter,52,95
crushingmill,mxgraph.pid.crushers_grinding.crusher_(hammer),80,99
hammermill,mxgraph.pid.crushers_grinding.crusher_(hammer),80,99
conveyingbelt,mxgraph.pid2misc.conveyor,150,40
pressurefilter,mxgraph.pid.filters.press_filter,91,30
solidscentrifuge,mxgraph.pid.centrifuges.centrifuge_(solid_shell),100,174
reactor,mxgraph.pid.vessels.reactor,160,240
screwpress,mxgraph.pid.shaping_machines.extruder_(screw),100,70